trdwk	mkt_rf	smb	hml	umd	rf	smb_equal	hml_equal	umd_equal	rmw	cma	rmw_equal	cma_equal
1994-01-14	-0.049784903	-0.010605094	-0.001557191	0.0128259205	0.002005	-0.00692025	0.0075551871	0.0105331544	0.0103005785	-0.022514648	0.0011889272	-0.01949979
1994-01-21	-0.040166397	0.0247086458	0.006786267	0.0343094451	0.002005	0.018671711	0.0042494693	0.0236249741	-0.02365852	-0.015334387	-0.023030325	-0.000086006
1994-01-28	-0.058775134	0.0239568846	0.0320662904	-0.033172795	0.002005	0.0274131498	0.0251223473	-0.02417018	-0.031256573	-0.035270988	-0.024393848	-0.017531237
1994-02-04	0.0631407495	-0.030273716	-0.053609244	0.0084694471	0.002005	-0.037995136	-0.052423408	-0.003859256	0.0704072839	0.0311191449	0.0680588694	0.0054493608
1994-02-18	-0.100107656	0.0345041209	0.0443101272	0.0026412526	0.002005	0.0339354008	0.0335394378	0.0085609888	-0.074498043	-0.036797096	-0.051753822	-0.007289323
1994-02-25	0.013239072	-0.001510246	-0.015004786	0.0099589658	0.002005	-0.01255624	-0.019219287	0.0022433538	0.0031116446	-0.017704711	0.0158168548	-0.025015225
1994-03-04	-0.072321301	-0.025125544	-0.006636987	0.0126741592	0.002005	-0.024418517	-0.01971373	0.0152516756	0.0012079052	-0.015692841	0.0192149322	0.0083710775
1994-03-11	-0.023856024	0.0063814867	0.0112291825	0.0698388929	0.002005	-0.005020709	0.0047781849	0.0571590174	-0.048054784	-0.066805187	-0.021579319	-0.041825749
1994-03-18	0.0298848793	0.0709047946	0.0355554641	0.0291963749	0.002005	0.0663218128	0.0555626895	-0.000157299	-0.050780845	-0.008024958	-0.0695223	0.0150516466
1994-03-25	-0.076755167	0.0136427571	0.0375186142	0.0589494138	0.002005	0.0213286223	0.0390304604	0.0497474941	-0.061733322	-0.02021686	-0.033051891	-0.009878797
1994-04-01	-0.038474431	0.0305306788	-0.000562511	0.0407772951	0.002005	0.0316869019	0.0113683391	0.0231334241	-0.024773289	0.0172554736	-0.025654721	-0.004773684
1994-04-08	-0.026525881	0.0503132864	0.0121793258	0.0210181503	0.002005	0.0420724474	0.0037431994	0.0057312383	-0.011278652	-0.036638525	-0.012658643	0.0033043947
1994-04-15	-0.087977269	0.0469825745	0.0249736891	-0.00607944	0.002005	0.0525263384	0.0262661067	-0.021549552	-0.007036012	-0.003454758	-0.007569492	-0.010748146
1994-04-22	-0.145926641	0.029379736	0.0507929336	0.0495680202	0.002005	0.0272422496	0.0503394742	0.0407343461	-0.066864202	-0.057040112	-0.054548778	-0.033075704
1994-04-29	0.1086226272	-0.055834982	-0.074470217	-0.07376908	0.002005	-0.058718092	-0.069840962	-0.060150953	0.1249507167	0.1093731625	0.0931480471	0.0715151959
1994-05-06	0.02771526	-0.012008925	-0.020926589	-0.06957561	0.002005	0.0190305829	0.0015348077	0.0032304647	0.0820069316	0.0154888502	0.0278723493	0.0088373833
1994-05-13	0.0382056864	-0.031699533	-0.031665032	-0.05569317	0.002005	-0.028097235	-0.027304671	-0.048229316	0.0515964466	0.0358995324	0.0404785879	-0.003952983
1994-05-20	-0.014142117	0.0048697854	0.0013670544	0.0402831623	0.002005	0.0010485301	0.0053818066	0.034662737	-0.030872769	-0.02451752	-0.025050408	-0.013674055
1994-05-27	-0.060312801	0.0260525142	0.025383025	0.0486635576	0.002005	0.0136471617	0.0201240227	0.0261862842	-0.037615177	-0.056582409	-0.015029388	-0.024299349
1994-06-03	-0.059344776	0.0343045847	0.0380745081	0.0480442064	0.002005	0.0332742315	0.0386646535	0.0455844735	-0.019243619	-0.021264669	-0.011110842	0.0035163037
1994-06-10	-0.045541765	-0.026490942	-0.003358456	0.0131567612	0.002005	-0.030398331	-0.002042309	0.0261445361	0.0251244847	0.0246877056	0.0191546543	0.0125409455
1994-06-17	0.0265170161	-0.013725946	0.0148965018	-0.015983629	0.002005	-0.005374735	0.0155967596	-0.006286208	0.0022611201	-0.003384818	-0.001567753	-0.00668006
1994-06-24	-0.07229251	0.0054691533	-0.003772146	0.0113559913	0.002005	0.0017528932	0.0013905155	0.0124370092	-0.007713493	0.0045603613	-0.003874442	0.0031555164
1994-07-01	-0.075070864	-0.013657628	0.0057854213	-0.030058499	0.002005	-0.005358725	0.0100130233	-0.013199812	0.0319153823	-0.006821039	0.0165813688	-0.007085266
1994-07-08	-0.024043691	0.0200920203	0.0599660713	-0.048455309	0.002005	0.0161031749	0.0491901561	-0.028402658	0.0168464254	0.0156781864	0.0205299248	0.0112149814
1994-07-15	-0.065841293	-0.035723718	-0.010072276	-0.00220599	0.002005	-0.024288687	0.0022793105	0.0069998248	-0.001085955	-0.002589939	0.0074071185	-0.00920398
1994-07-22	-0.11248108	-0.036395212	0.0362697174	-0.065740888	0.002005	-0.031999133	0.0312759172	-0.06409169	0.049305873	-0.012489633	0.0398542859	-0.03303948
1994-07-29	-0.069075349	-0.034561668	0.0503318999	-0.041626433	0.002005	-0.026497231	0.0388377498	-0.038063907	-0.007889274	-0.080753755	0.0144095596	-0.065019134
1994-08-05	0.9638938316	0.3439657186	-0.185174179	-0.027138232	0.002005	0.2923886455	-0.126655099	-0.136137528	-0.176862824	0.5018315126	-0.153796905	0.4956610833
1994-08-12	0.0038789211	-0.011494495	0.0009306636	-0.06935718	0.002005	-0.016965231	-0.016910185	-0.051593012	0.0289498574	0.0923387644	-0.008400319	0.040402211
1994-08-19	0.0248215834	-0.003529698	-0.043848632	0.1012083691	0.002005	-0.001779663	-0.037732613	0.0926461245	-0.028055754	-0.005756633	-0.027464035	0.0179740657
1994-08-26	-0.050962559	0.0153173467	-0.041456209	0.1293082901	0.002005	0.0211785714	-0.021747833	0.0989957759	-0.030156426	-0.048799664	-0.025964639	-0.010090567
1994-09-02	0.1662849957	0.0160697814	-0.023006789	0.0742104231	0.002005	0.0166735458	-0.011618097	0.0446212698	-0.020695515	-0.004358384	-0.03813719	0.002233237
1994-09-09	0.1906866395	0.0967543188	0.0596300164	0.0275779414	0.002005	0.0892631137	0.042773693	0.0271795856	-0.048368023	-0.026992557	-0.035328061	0.0456603928
1994-09-16	0.0179038755	0.060992384	0.0666590606	-0.028357968	0.002005	0.0497804933	0.0619567652	-0.030851574	0.0363386552	0.0620205879	0.0244203172	0.0560524198
1994-09-23	-0.080696543	0.0014349776	0.022365813	-0.060578858	0.002005	0.0056584684	0.0178120967	-0.068909058	0.0036308173	-0.050787075	-0.002582345	-0.043891873
1994-09-30	-0.111900295	-0.000553986	-0.003370437	0.0567910076	0.002005	0.0016933219	-0.000885748	0.0396940657	-0.019762276	0.033594055	-0.021461712	0.0248083433
1994-10-07	-0.084542016	0.0139211747	-0.020354696	0.027845908	0.002005	0.013711878	-0.019180864	0.0264324807	-0.00678487	0.0210484088	-0.000234568	0.0266369867
1994-10-14	-0.104513356	0.0070347005	-0.003773315	0.006170226	0.002005	0.0097127367	0.0055480442	0.0021408998	0.0079265783	-0.011981999	-0.003418355	-0.022233404
1994-10-21	0.0379071635	0.0274896019	-0.004677177	0.0774215655	0.002005	0.0228524798	-0.003615841	0.0800555714	-0.02438162	0.0492435379	-0.02120534	0.046341211
1994-10-28	-0.029088982	0.0069403695	0.0156683561	-0.084038588	0.002005	-0.000265862	0.0155913515	-0.067153531	0.0085377315	-0.024078725	0.0078643485	-0.01627947
1994-11-04	-0.027322701	0.0025003255	0.0035032828	0.0125762017	0.002005	0.0010836936	-0.000271262	0.0187885391	0.0004027943	0.0160285511	-0.001752179	0.0136890733
1994-11-11	0.0725961425	0.0213210679	-0.022945087	0.0899703322	0.002005	0.0260980084	-0.016106409	0.0698910666	-0.030006842	0.0294154264	-0.029901928	0.0330897921
1994-11-18	-0.037701766	-0.004089268	0.0010865287	-0.016713064	0.002005	-0.005099471	-0.000390784	-0.012513773	0.0036589662	-0.009169114	0.0064612124	-0.010445199
1994-11-25	-0.017545045	-0.004903109	-0.000790199	-0.00204513	0.002005	-0.004538463	-0.001816338	0.0017094638	0.0029533854	-0.004342304	0.002589655	-0.005616886
1994-12-02	-0.008600594	-0.001620932	0.0014703458	-0.003092537	0.002005	-0.001613059	0.0011271281	-0.000722996	-0.00218945	-0.002880268	0.0002973325	-0.00350488
1994-12-09	-0.061110533	-0.008904009	-0.0022275	0.0030286718	0.002005	-0.007253721	-0.0016379	0.0044244988	0.0004246375	0.0028438894	0.0020216711	0.0051245683
1994-12-16	0.0650812369	0.028229239	0.0032639957	0.0062162311	0.002005	0.026599742	0.0018514224	0.0065748907	-0.002274853	0.0137531752	-0.000838501	0.0192116678
1994-12-23	-0.030263598	0.023785546	-0.016683156	0.0443857521	0.002005	0.0139432441	-0.02093252	0.059512655	-0.006409747	0.0372316574	-0.004332382	0.030820342
1994-12-30	-0.027770804	-0.032307923	0.0129889331	-0.062211112	0.002005	-0.022218909	0.0078216904	-0.064797056	0.0018485255	-0.049872445	-0.001045748	-0.038246248
1995-01-06	-0.00006857	-0.012299347	0.0047476619	-0.012631473	0.002005	-0.011887787	0.0062747891	-0.012627167	0.0070952936	-0.030634807	0.0082797284	-0.036509747
1995-01-13	-0.076598093	-0.00731142	0.0054723632	-0.015877216	0.002005	-0.005367241	0.0056510694	-0.014868288	0.0033038068	0.0071668109	0.0000368791	0.0092472614
1995-01-20	-0.051602569	-0.006740313	-0.002752729	-0.006944107	0.002005	-0.003324926	-0.003395563	-0.001285084	0.0151187719	-0.018274228	0.0110596919	-0.018508604
1995-01-27	-0.006848063	-0.01247966	0.0098450613	-0.026523359	0.002005	-0.011040894	0.0082509976	-0.0286245	0.0138323777	-0.010962037	0.0087114887	-0.015766858
1995-02-10	-0.041096339	-0.014893347	0.0146177531	-0.04354461	0.002005	-0.015814249	0.0128429649	-0.037332597	0.0082326118	0.0353526478	0.0073346872	0.0269831549
1995-02-17	-0.015182082	-0.006098169	-0.00725473	-0.005067838	0.002005	-0.006291244	-0.006019883	-0.00532685	0.0013192382	-0.003392381	0.0027987436	-0.006146384
1995-02-24	0.0274214378	0.0278704861	0.0034737322	0.0204238925	0.002005	0.0253336657	0.0019269835	0.0250206171	-0.006555671	0.040368795	-0.009210497	0.0343865575
1995-03-03	0.0317253929	-0.001590538	-0.000855144	0.0136217299	0.002005	-0.002770188	0.003681089	0.0128626136	-0.001948064	-0.011639795	0.0013011999	-0.006819087
1995-03-10	0.0164199344	0.0159131281	0.0004582409	0.0125964572	0.002005	0.0145619504	0.0046880478	0.0082480176	0.001768229	0.0109021706	0.0024402935	0.0137506558
1995-03-17	0.0025196428	0.0117207901	-0.005811465	0.0145358841	0.002005	0.0125464072	-0.003005061	0.0112297348	-0.013662647	0.0106254647	-0.012073176	0.0100791637
1995-03-24	0.016689063	0.0060064519	-0.008312247	0.0181346381	0.002005	0.0049539527	-0.007692398	0.019708212	-0.001953548	0.0199425353	-0.000971513	0.0198576876
1995-03-31	0.0368577607	-0.007657963	-0.028441717	0.0409118335	0.002005	-0.00380643	-0.026808895	0.0240576651	-0.008199417	0.0005562562	-0.009997611	0.0066183065
