trdyr	mkt_rf	smb	hml	umd	rmw	cma	rf	smb_equal	hml_equal	umd_equal	rmw_equal	cma_equal
1995	-0.242019175	-0.034103142	0.1176357124	0.4406720373	0.222162434	0.0739283256	0.1098	-0.04588751	0.1553330181	0.4548090825	0.1522473328	-0.025730705
1996	1.0818510601	-0.577209589	1.1512851584	2.1123680347	0.7019219765	-0.196600099	0.0747	-0.582190235	1.2321027445	2.0734653758	0.6185088593	-0.187160292
1997	0.2476428811	-0.138508918	-0.028339372	1.1600421112	0.5896617769	-0.4005673	0.0567	-0.024180235	-0.033156936	1.0484070852	0.2511931328	-0.154675765
1998	-0.087045905	0.2428651487	0.0876303007	0.810890036	-0.192257301	0.0739399937	0.0378	0.1544977961	0.0468508842	0.807383354	-0.080301814	0.0429284758
1999	0.1478681536	-0.04214226	-0.025195701	0.8229617586	-0.001402914	0.0156292135	0.0225	-0.048432161	-0.059824014	0.8181446634	0.0156064835	0.0320057818
2000	0.5624812206	0.1603806277	0.0713694615	1.0308669653	-0.092835406	0.1079610969	0.0225	0.0990214122	0.0657919255	0.9981610116	-0.127812996	0.1737712462
2001	-0.270102601	0.0248785819	0.0868688996	0.3828121966	0.0268156657	0.0139532699	0.0225	0.012183209	0.0505008443	0.3379707194	0.0320772472	-0.007108237
2002	-0.205104268	-0.057166997	0.0120085792	0.3561179424	0.0662646051	-0.04544078	0.0198	-0.039610247	-0.003099449	0.3311647335	0.0556425313	-0.022479425
2003	-0.060533774	-0.247441391	0.1755941292	0.6300874416	0.2731676941	-0.137380843	0.0198	-0.201864701	0.144446355	0.5952324769	0.231256668	-0.129963174
2004	-0.180542225	-0.069760434	0.1215710553	0.5865856439	0.1016628278	-0.083992508	0.0225	-0.07532899	0.0718649836	0.5111674818	0.1162756459	-0.084728346
2005	-0.135149518	-0.142675331	0.0322404877	0.5422689203	0.1547444766	-0.143282761	0.0225	-0.112862971	-0.000140327	0.5502765775	0.1259824564	-0.108257847
2006	1.0163035581	-0.453798836	0.0194190877	1.6448498254	0.3527500132	-0.16056606	0.0252	-0.455974582	-0.009953705	1.5853205637	0.3467542958	-0.190849247
2007	1.7586322408	-0.12423716	0.4463048935	2.2763023283	-0.075792436	0.1358668409	0.0414	-0.213256359	0.2792596186	2.3678470967	0.0512018061	0.112375621
2008	-0.641723826	0.0012200057	0.030762857	0.3064603966	0.0024785631	0.0360675839	0.0225	-0.012642145	0.0438731922	0.3032298676	-0.008830904	0.031079167
2009	1.1116064084	0.3193423761	0.3693788209	1.6789024296	-0.276150526	0.4234828304	0.0225	0.1706191929	0.3819081325	1.6055591324	-0.181491777	0.2184007265
2010	-0.038564952	0.0842442663	-0.183258965	0.8748930665	-0.016148332	-0.073523064	0.0275	0.0013031489	-0.14498349	0.8515077368	0.0350935073	-0.006136543
2011	-0.283897663	-0.048136545	0.0485986144	0.3885003404	0.1033773927	-0.044931826	0.035	-0.003298563	0.0194531781	0.3444814806	0.0223173746	0.0032238271
2012	-0.011937376	-0.030045109	0.0260408562	0.529635768	0.0618818907	-0.095594459	0.03	-0.036654283	0.0288880489	0.5668085032	0.0517880258	-0.009097501
2013	-0.00700715	0.181081619	-0.030363679	0.9458916874	-0.179247579	0.0395515301	0.03	0.0594426025	-0.050495612	0.9800162585	-0.126804112	-0.024492607
2014	0.4033953679	0.0427141084	0.2906759271	0.7852603942	-0.093545489	0.1618919321	0.0275	0.0265750998	0.2342000856	0.7197544925	-0.106601681	0.1224596782
2015	0.3211831388	0.438190122	-0.361320466	1.2124048302	-0.308576446	-0.330444396	0.015	0.2791231383	-0.326287754	1.280552601	-0.263869192	-0.028346104
2016	-0.134090223	0.0593447803	0.1506219928	0.4463183769	0.0764953501	0.0602176614	0.015	0.0912820533	0.1440675866	0.4495970107	-0.021852455	0.0866676308
2017	0.0371624782	-0.332648465	0.1149627149	0.6919031115	0.3469312002	-0.187751428	0.015	-0.208493928	0.1121320165	0.6087809271	0.2251078069	-0.085468255
2018	-0.28788203	-0.097713505	0.0652445367	0.4112265521	0.1074719213	0.0581677864	0.015	-0.03504976	0.040009975	0.393783509	0.0460823693	0.0230729
2019	0.2745436084	-0.194979667	-0.189897208	0.8790819077	0.1353017593	-0.325616164	0.015	-0.120734925	-0.104073549	0.8438657172	0.0543005923	-0.125919677
2020	0.2877248457	-0.294443173	-0.216770462	1.1503667529	0.2834813402	-0.41862714	0.015	-0.214899942	-0.08171422	0.9791628923	0.2050955248	-0.211447043
2021	-0.016722326	-0.026140517	0.0317481711	0.0772718898	0.0271735146	0.0128184344	0.015	-0.011615218	0.0255625802	0.1277033206	0.0269420016	-0.001182044
